"Reservoir","Reservoir_type","Year","Cyanobacteria_Max_cells/ml","logCyanoMax_cells/ml","Chlorophyll_a_ug/l","Secchi_cm","TP_ppb","P_dissolved_ppb","TKN_ppm","NH3_ppm","NOx_ppm","TOC_ppm","Alkalinity_ppm","NH36to8inflow_ppm","TKN6to8inflow_ppm","NOx6to8inflow_ppm","TP6to8inflow_ppb","TOC6to8inflow_ppm","Summer_precip_inches","Summer_precip_Z-score","mayST_Celsius","junST_Celsius","julST_Celsius","augST_Celsius","mayDO_mg/l","junDO_mg/l","mayDT_Celsius","junDT_Celsius","julDT_Celsius","augDT_Celsius"
"BVR",2,2018,"239695.5","5.380","4.75","156.0","70.6","55.3","0.618","0.150","0.738","4.91","157.0","0.137","0.277","0.952","93.0","3.4",14.49,0.885,"21.03","27.59","27.50","28.33","10.08","4.70","10.58","11.81","13.85","13.61"
"CBR",3,1987,"na","na","26.38","46.0","18.6","6.142857143","0.429","0.157","0.986","2.36","186.7","0.000","0.258","4.133","14.8","2.6",9.67,-0.637,"na","na","na","na","na","na","na","na","na","na"
"CBR",3,1990,"na","na","4.67","36.0","na","na","na","na","na","na","na","na","na","na","na","na",16.11,1.349,"16.21","20.20","23.51","24.49","8.55","na","14.28","18.09","19.83","21.19"
"CBR",3,1991,"na","na","na","na","na","na","na","0.050","na","4.00","7.9","0.000","0.140","1.310","108.0","2.8",5.4,-1.953,"17.97","24.98","26.85","23.28","-0.09","0.09","13.37","17.13","19.22","20.76"
"CBR",3,1992,"7774.5","3.891","15.01","36.0","90.0","45","0.800","0.200","0.400","4.75","86.0","0.125","0.750","1.863","45.0","3.8",12.0,0.082,"15.31","20.30","23.86","24.28","7.96","2.83","14.86","15.44","19.67","21.59"
"CBR",3,1994,"na","na","20.28","33.5","na","na","na","na","na","10.40","na","na","na","na","na","10.2",11.8,0.02,"15.37","24.13","25.09","23.94","7.68","0.79","14.24","18.74","21.41","22.40"
"CBR",3,2004,"15608.5","4.193","na","35.3","na","na","na","na","na","na","na","na","na","na","na","na",8.05,-1.136,"18.58","23.01","24.89","23.61","5.05","2.91","17.47","21.98","23.83","22.73"
"CBR",3,2005,"71148.0","4.852","na","25.0","na","na","na","na","na","na","na","na","na","na","na","na",7.09,-1.432,"16.91","23.78","26.82","25.85","8.08","1.34","14.20","19.53","23.31","23.79"
"CBR",3,2008,"277333.3","5.443","na","27.0","43.4","na","1.204","0.047","0.029","11.71","158.6","0.044","0.345","2.035","7.8","20.0",12.86,0.347,"16.67","22.82","24.98","25.49","7.92","2.72","15.97","21.59","23.74","24.08"
"CBR",3,2009,"na","na","na","28.0","154.3","na","0.964","0.066","0.655","16.60","170.0","0.025","0.385","12.250","28.5","18.0",11.01,-0.224,"19.21","23.79","25.08","25.18","6.66","1.62","17.22","20.58","21.75","23.40"
"CBR",3,2014,"2393493.4","6.379","na","34.0","35.8","na","1.600","0.067","0.005","5.00","na","na","na","na","na","na",9.41,-0.717,"na","na","na","na","na","na","na","na","na","na"
"CBR",3,2016,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",8.65,-0.951,"17.68","24.46","27.56","27.14","6.22","1.48","14.47","18.91","21.58","22.77"
"CBR",3,2017,"2614925.2","6.417","19.98","36.0","35.6","19.3","1.010","0.061","0.998","9.18","192.3","0.029","0.195","3.740","57.5","3.5",15.97,1.306,"18.20","22.98","25.18","25.43","6.42","0.62","16.45","20.26","24.16","23.72"
"CCK",2,1988,"2.4","0.380","23.13","44.0","20.8","32.5","0.478","0.050","3.624","3.72","138.4","0.000","0.367","1.740","23.8","4.2",10.17,-0.712,"na","na","na","na","na","na","na","na","na","na"
"CCK",2,1989,"na","na","7.33","41.0","27.4","10.85714286","0.353","0.145","3.474","2.61","143.0","0.000","0.467","3.067","48.7","3.3",12.48,-0.029,"15.94","22.87","26.89","25.22","7.75","3.59","9.99","13.02","13.35","13.29"
"CCK",2,1991,"na","na","na","60.0","na","na","na","0.050","na","4.00","na","0.000","0.225","0.675","168.3","4.3",8.25,-1.28,"19.94","24.43","26.29","25.30","9.40","na","10.35","11.49","14.72","12.60"
"CCK",2,1994,"na","na","11.46","47.0","na","na","na","na","na","7.86","na","na","na","na","na","9.5",14.1,0.45,"15.87","25.41","27.45","26.00","8.76","3.24","9.69","10.62","11.60","11.56"
"CCK",2,1996,"na","na","na","38.7","na","na","na","na","2.990","5.83","101.7","na","na","2.400","na","5.2",12.06,-0.153,"16.79","23.44","25.65","27.61","7.20","3.96","12.29","15.69","16.28","16.21"
"CCK",2,1998,"3094.9","3.491","28.46","52.3","na","na","na","na","na","na","na","na","na","na","na","na",14.77,0.649,"20.60","23.15","27.77","26.92","4.58","2.23","11.14","14.72","16.89","18.13"
"CCK",2,1999,"15475.5","4.190","na","62.0","23.5","5","1.800","na","4.384","4.19","102.7","na","1.750","0.965","53.8","3.9",8.16,-1.307,"20.04","24.67","28.21","26.59","7.19","4.59","8.41","9.51","9.91","10.31"
"CCK",2,2000,"33817.7","4.529","na","41.3","na","na","na","na","na","na","na","na","na","na","na","na",14.24,0.492,"18.89","23.73","26.61","25.21","5.55","2.65","9.76","11.17","13.22","13.74"
"CCK",2,2002,"41737.1","4.621","na","25.3","na","na","na","na","na","na","na","na","na","na","na","na",17.3,1.397,"17.49","24.87","28.44","28.49","6.33","2.93","12.83","15.08","15.26","15.98"
"CCK",2,2003,"123446.4","5.091","na","70.3","na","na","na","na","na","na","na","na","na","na","na","na",13.87,0.382,"17.32","22.32","25.83","27.48","5.53","2.20","10.64","13.39","15.52","16.23"
"CCK",2,2006,"15802.9","4.199","na","45.3","na","na","na","na","na","na","na","na","na","na","na","na",12.68,0.03,"17.65","23.82","27.76","27.98","6.82","3.20","8.72","11.33","11.68","11.84"
"CCK",2,2007,"146969.2","5.167","na","30.0","na","na","0.920","0.118","0.234","3.81","112.0","0.000","0.366","0.289","27.0","2.6",9.3,-0.97,"20.93","24.72","25.65","27.87","7.11","4.00","7.80","9.17","9.23","10.01"
"CCK",2,2008,"15428.6","4.188","na","na","37.5","na","na","0.069","1.960","7.92","130.0","0.061","na","0.474","25.0","20.3",11.03,-0.458,"16.97","23.68","25.88","26.15","6.02","2.56","9.88","17.56","17.90","17.67"
"CCK",2,2009,"na","na","na","54.0","136.4","na","0.907","0.076","4.825","12.61","190.0","0.115","0.810","6.550","94.5","16.5",10.05,-0.748,"20.19","na","24.86","23.72","6.28","na","9.56","na","10.67","11.51"
"CCK",2,2014,"787281.3","5.896","na","46.0","53.0","na","1.800","0.176","0.717","4.45","142.0","na","na","na","na","na",14.66,0.616,"na","na","na","na","na","na","na","na","na","na"
"CCK",2,2015,"572727.2","5.758","12.67","25.0","24.5","na","1.138","0.145","1.237","4.90","142.4","0.110","0.400","4.590","22.0","3.5",18.84,1.853,"na","na","26.03","na","na","na","na","na","20.82","na"
"CCK",2,2016,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",12.87,0.087,"17.39","27.50","28.07","28.46","5.58","3.05","10.24","11.36","11.42","12.00"
"CCK",2,2018,"1394779.7","6.145","17.15","50.7","71.7","38.86666667","0.732","0.117","1.049","5.69","134.0","0.092","0.390","2.690","64.8","4.6",18.57,1.773,"18.84","25.22","28.39","26.37","6.62","3.14","10.80","11.59","12.93","13.68"
"CFK",1,1989,"na","na","5.63","63.0","10.8","5","na","0.100","na","1.67","61.8","0.150","na","na","38.3","3.3",20.52,1.453,"16.72","24.31","26.93","27.02","7.05","4.59","10.02","13.55","15.06","15.39"
"CFK",1,1991,"na","na","na","na","na","na","na","0.050","na","2.00","66.0","0.000","na","na","na","6.2",12.16,-0.412,"22.80","26.98","29.23","27.12","na","4.55","9.85","10.29","10.91","12.39"
"CFK",1,1992,"2333.3","3.368","5.31","73.0","na","na","na","0.058","na","5.33","43.0","0.044","na","na","na","4.2",16.66,0.592,"19.55","24.08","26.53","26.37","7.33","6.21","8.39","8.80","11.24","13.20"
"CFK",1,1997,"na","na","5.16","48.0","na","na","na","na","0.018","4.04","na","na","na","0.267","na","5.6",13.95,-0.013,"17.83","24.52","28.44","27.08","5.03","3.24","11.66","13.84","17.45","17.66"
