"Reservoir","Reservoir_type","Year","Cyanobacteria_Max_cells/ml","logCyanoMax_cells/ml","Chlorophyll_a_ug/l","Secchi_cm","TP_ppb","P_dissolved_ppb","TKN_ppm","NH3_ppm","NOx_ppm","TOC_ppm","Alkalinity_ppm","NH36to8inflow_ppm","TKN6to8inflow_ppm","NOx6to8inflow_ppm","TP6to8inflow_ppb","TOC6to8inflow_ppm","Summer_precip_inches","Summer_precip_Z-score","mayST_Celsius","junST_Celsius","julST_Celsius","augST_Celsius","mayDO_mg/l","junDO_mg/l","mayDT_Celsius","junDT_Celsius","julDT_Celsius","augDT_Celsius"
"BRR",2,1987,"na","na","3.80","120.0","54.3","12","0.200","0.092","0.240","1.83","88.5","0.050","0.267","0.433","123.5","2.0",14.63,0.248,"na","na","na","na","na","na","na","na","na","na"
"BRR",2,1988,"804.5","2.906","na","72.0","na","na","na","na","na","na","80.6","na","na","na","na","na",8.89,-1.235,"na","na","na","na","na","na","na","na","na","na"
"BRR",2,1991,"na","na","na","85.3","na","na","na","0.063","na","6.17","81.8","0.025","na","na","na","5.5",8.77,-1.266,"22.64","27.24","28.77","28.04","4.51","3.09","14.54","16.76","18.29","19.06"
"BRR",2,1994,"na","na","5.04","43.1","na","na","na","na","na","5.00","na","na","na","na","na","4.8",11.67,-0.517,"19.29","26.85","27.83","26.93","4.17","0.82","13.42","16.33","19.98","22.16"
"BRR",2,2003,"32694.1","4.514","na","37.7","na","na","na","na","na","na","na","na","na","na","na","na",22.71,2.337,"21.83","23.93","28.54","28.79","2.90","1.10","15.49","18.35","20.01","21.31"
"BRR",2,2005,"15301.7","4.185","na","54.0","na","na","na","na","na","na","na","na","na","na","na","na",20.39,1.737,"20.69","26.69","29.42","29.46","5.43","0.26","13.33","15.67","16.50","17.43"
"BRR",2,2006,"28953.2","4.462","na","51.5","45.0","na","0.685","na","0.043","3.90","62.8","na","0.522","0.728","100.0","2.2",12.99,-0.176,"19.88","26.06","28.52","29.26","4.96","1.36","14.37","16.17","16.45","17.75"
"BRR",2,2008,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",10.51,-0.816,"18.91","26.22","26.98","27.40","3.90","0.83","14.98","16.88","18.10","19.00"
"BRR",2,2009,"na","na","na","60.0","89.4","na","0.843","0.051","1.218","7.13","75.0","0.030","0.434","3.408","189.8","6.0",17.61,1.019,"20.58","26.66","27.23","27.27","4.40","0.41","15.39","18.48","20.18","21.04"
"BRR",2,2011,"167641.6","5.224","na","51.0","23.9","na","0.821","0.011","0.047","8.05","88.4","0.000","0.860","0.915","117.5","8.2",10.34,-0.86,"na","na","na","29.87","na","na","na","na","na","21.29"
"BRR",2,2012,"235323.1","5.372","na","53.0","11.0","na","0.730","0.183","na","2.82","87.9","na","na","na","na","na",12.74,-0.24,"na","na","na","na","na","na","na","na","na","na"
"BRR",2,2013,"4254997.5","6.629","18.96","48.0","17.4","na","na","0.048","0.055","4.04","90.0","0.110","na","2.000","28.0","3.0",14.58,0.235,"na","na","27.81","na","na","na","na","na","20.15","na"
"BRR",2,2014,"572033.1","5.757","na","49.0","11.9","na","1.600","0.070","0.005","3.80","na","0.084","0.800","0.108","25.0","2.2",15.53,0.481,"na","na","na","28.03","na","na","na","na","na","na"
"BRR",2,2017,"3328178.8","6.522","14.15","42.0","53.9","18.6","0.605","0.091","0.028","5.59","66.5","na","na","na","na","na",13.86,0.049,"23.30","26.15","29.85","28.25","3.24","0.57","17.82","20.99","22.70","23.85"
"BRR",2,2018,"1240728.0","6.094","15.69","44.0","43.5","33.4","0.554","0.142","0.006","4.87","74.8","0.174","0.504","0.813","104.0","3.9",15.51,0.476,"24.99","27.77","28.75","28.86","4.10","0.30","14.63","18.34","22.19","22.52"
"BVR",2,1987,"na","na","29.77","na","16.3","12.5","na","0.150","na","3.17","na","0.233","0.600","3.300","353.7","9.3",12.71,0.385,"na","na","na","na","na","na","na","na","na","na"
"BVR",2,1988,"na","na","18.40","54.0","9.7","5","na","0.150","na","1.36","214.7","0.067","0.767","1.767","110.0","3.0",6.84,-1.265,"na","na","na","na","na","na","na","na","na","na"
"BVR",2,1989,"na","na","20.80","50.0","10.4","5","na","0.094","na","3.44","209.7","0.050","0.450","3.150","89.0","4.0",10.36,-0.276,"14.58","23.88","26.27","25.02","8.37","4.63","9.07","15.00","15.92","15.67"
"BVR",2,1992,"13476.1","4.130","12.30","61.3","na","na","na","0.075","na","3.50","114.3","0.000","0.650","3.000","67.5","3.5",18.33,1.964,"15.66","18.06","24.20","23.94","10.00","6.54","9.64","8.01","13.20","17.68"
"BVR",2,1994,"na","na","12.74","47.3","na","na","na","na","na","12.67","na","na","na","na","na","15.5",8.65,-0.756,"15.21","24.45","25.61","na","8.73","6.06","10.03","11.35","12.66","na"
"BVR",2,1998,"2326.8","3.367","17.84","65.5","na","na","na","na","na","na","na","na","na","na","na","na",17.14,1.63,"21.27","22.81","27.10","27.46","6.79","3.32","12.71","15.41","19.41","20.19"
"BVR",2,1999,"4794.2","3.681","na","77.0","12.5","10","0.500","na","1.200","3.93","130.0","na","0.300","2.100","90.0","2.8",9.94,-0.394,"18.13","24.18","27.61","26.76","8.78","7.45","9.67","11.24","11.76","12.81"
"BVR",2,2000,"5979.9","3.777","na","62.7","na","na","na","na","na","na","na","na","na","na","na","na",14.44,0.871,"18.59","24.49","26.20","25.53","5.44","3.20","10.37","12.30","14.46","15.03"
"BVR",2,2001,"31717.2","4.501","na","54.3","na","na","na","na","na","na","na","na","na","na","na","na",14.09,0.772,"19.27","24.58","26.70","26.47","5.25","1.57","10.95","15.85","17.07","17.67"
"BVR",2,2002,"15482.0","4.190","na","79.0","na","na","na","na","na","na","na","na","na","na","na","na",5.64,-1.602,"14.99","24.76","28.57","27.76","6.79","3.50","13.67","15.69","16.09","16.13"
"BVR",2,2005,"1678.5","3.225","na","120.0","na","na","na","na","na","na","na","na","na","na","na","na",8.59,-0.773,"15.89","24.40","27.77","27.96","8.02","4.67","11.40","13.27","15.40","16.61"
"BVR",2,2006,"1801.9","3.256","na","81.7","na","na","na","na","na","na","na","na","na","na","na","na",10.05,-0.363,"17.56","24.81","27.61","27.04","7.14","2.51","12.05","14.74","17.13","19.01"
"BVR",2,2011,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",7.58,-1.057,"na","na","na","na","na","na","na","na","na","na"
"BVR",2,2012,"128912.5","5.110","na","59.0","24.3","na","0.590","0.015","0.886","2.38","153.3","0.000","0.390","0.890","43.0","2.5",7.56,-1.063,"na","25.79","na","na","na","4.21","na","9.86","na","na"
"BVR",2,2013,"3824455.9","6.583","6.14","97.0","36.3","na","na","0.024","0.187","4.40","150.0","0.020","na","0.250","43.0","1.8",7.5,-1.08,"na","na","na","na","na","na","na","na","na","na"
"CBR",3,1988,"na","na","54.00","30.0","34.0","na","0.900","0.050","0.200","4.00","161.5","0.000","0.233","3.080","9.7","2.0",8.98,-0.849,"na","na","na","na","na","na","na","na","na","na"
"CBR",3,1989,"na","na","1.75","75.0","17.5","5","0.500","0.100","1.900","6.00","196.5","0.125","0.475","5.675","69.8","4.3",13.86,0.655,"14.80","22.99","26.13","23.95","5.41","2.72","12.77","18.59","19.89","21.48"
"CBR",3,1993,"28703.7","4.458","13.37","31.5","na","na","na","na","na","na","178.5","na","na","na","na","na",13.1,0.421,"16.68","21.97","26.25","25.48","4.94","3.75","13.12","18.15","23.65","22.77"
"CBR",3,1995,"612.7","2.787","8.88","44.0","na","na","na","na","na","9.67","173.0","na","na","na","na","14.7",13.52,0.55,"15.70","22.00","25.48","27.60","8.54","4.91","13.93","17.88","20.51","22.77"
"CBR",3,1996,"na","na","na","33.0","na","na","na","na","na","6.40","140.0","na","na","3.505","na","3.1",12.5,0.236,"14.73","21.36","24.99","24.60","13.24","3.27","15.12","18.91","22.46","23.38"
"CBR",3,1997,"na","na","22.99","38.4","na","19.2","na","na","0.584","8.33","na","na","na","2.695","na","11.0",16.45,1.454,"13.88","19.87","25.56","24.16","7.65","4.71","13.91","18.27","23.62","23.92"
"CBR",3,1998,"17563.8","4.245","51.46","33.3","na","na","na","na","na","na","na","na","na","na","na","na",11.37,-0.113,"20.41","22.97","25.76","25.88","1.65","2.89","15.31","20.13","24.02","24.95"
"CBR",3,1999,"34547.7","4.538","na","40.7","28.0","5","1.100","na","0.025","4.92","130.0","na","0.275","3.450","15.0","2.4",7.4,-1.337,"18.56","23.36","27.30","25.23","4.73","1.05","15.94","20.18","23.71","24.79"
"CBR",3,2000,"43475.8","4.638","na","32.0","na","na","na","na","na","na","na","na","na","na","na","na",14.66,0.902,"18.50","23.55","24.57","23.98","5.64","2.64","16.41","21.31","23.51","23.94"
"CBR",3,2001,"191.5","2.282","na","66.0","na","na","na","na","na","na","na","na","na","na","na","na",13.0,0.39,"19.35","23.21","25.60","26.24","3.64","3.35","16.04","17.54","22.93","24.66"
"CBR",3,2002,"8326.5","3.920","na","46.0","na","na","na","na","na","na","na","na","na","na","na","na",7.79,-1.216,"16.21","23.71","26.61","26.34","8.73","4.20","14.64","19.93","22.93","25.70"
"CBR",3,2003,"26612.4","4.425","na","40.0","na","na","na","na","na","na","na","na","na","na","na","na",19.07,2.261,"17.35","20.77","25.10","25.91","7.60","6.75","16.83","19.36","23.13","24.01"
"CBR",3,2006,"65517.2","4.816","na","23.0","na","na","na","na","na","na","na","na","na","na","na","na",14.64,0.896,"16.62","23.80","26.35","26.60","6.58","0.46","15.76","18.51","22.36","24.48"
"CBR",3,2007,"67449.7","4.829","na","36.0","44.0","na","1.190","0.018","0.008","4.58","159.0","0.000","0.561","3.711","9.0","2.1",9.84,-0.584,"19.97","24.32","25.41","27.04","4.58","2.63","16.42","20.37","22.84","24.93"
"CBR",3,2010,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",12.77,0.319,"18.26","24.41","27.24","27.21","6.14","0.09","16.59","20.21","24.22","25.72"
"CBR",3,2011,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",9.41,-0.717,"na","na","na","na","na","na","na","na","na","na"
"CBR",3,2012,"na","na","na","25.0","46.0","na","1.010","0.015","0.034","3.90","163.3","0.000","0.415","4.450","11.5","3.2",7.67,-1.253,"na","23.19","na","na","na","1.72","na","16.15","na","na"
"CBR",3,2013,"8714723.8","6.940","32.31","27.0","35.8","na","na","0.036","0.017","4.46","na","0.045","na","2.510","0.7","2.6",13.7,0.606,"na","na","na","24.73","na","na","na","na","na","na"
"CBR",3,2015,"186984.4","5.272","28.94","37.0","2.0","na","0.525","0.136","0.424","3.78","176.0","0.258","0.850","0.708","19.0","3.6",15.64,1.204,"na","na","24.70","na","na","na","na","na","21.23","na"
"CBR",3,2018,"5940343.7","6.774","25.16","35.7","69.8","33.9","0.908","0.088","0.243","6.56","173.0","0.072","0.236","3.000","52.3","2.5",12.14,0.125,"18.21","26.86","26.90","25.93","4.96","2.78","15.22","20.91","21.13","22.93"
"CCK",2,1987,"403.3","2.606","9.20","52.5","5.0","5","0.333","0.075","2.983","3.33","166.3","0.150","0.400","4.025","121.0","4.0",7.94,-1.372,"na","na","na","na","na","na","na",,"na","na"
"CCK",2,1990,"na","na","3.50","41.0","63.0","50","na","na","na","na","140.0","0.000","0.467","4.633","81.3","2.3",17.16,1.356,"15.39","21.96","26.47","25.66","6.62","3.02","10.79","15.42","16.96","18.37"
"CCK",2,1992,"na","na","30.96","39.5","59.2","26.25","1.367","0.038","2.710","4.73","137.8","0.000","1.000","2.550","141.5","4.0",11.94,-0.189,"16.81","22.99","22.00","24.72","8.71","4.56","7.38","7.77","7.21","10.52"
"CCK",2,1993,"14461.8","4.160","11.99","34.0","na","na","na","0.068","na","5.80","150.7","0.067","na","na","na","6.0",5.93,-1.967,"18.29","21.83","26.29","26.53","10.22","na","7.56","8.52","9.11","9.48"
"CCK",2,1995,"6745.0","3.829","na","43.3","na","na","na","na","na","9.33","78.3","na","na","2.290","na","12.2",11.72,-0.254,"16.43","25.73","26.68","29.43","8.48","2.87","10.63","14.42","15.26","15.41"
"CCK",2,1997,"na","na","14.75","49.3","na","na","na","na","2.600","7.26","na","na","na","1.129","na","10.4",17.26,1.385,"15.06","23.17","27.63","25.80","6.92","4.05","9.73","15.39","16.58","17.08"
"CCK",2,2001,"25032.5","4.399","na","28.0","na","na","na","na","na","na","na","na","na","na","na","na",14.17,0.471,"20.15","22.45","27.11","26.88","4.52","1.31","10.93","14.89","15.32","15.39"
"CCK",2,2004,"7556.3","3.878","na","90.8","na","na","na","na","na","na","na","na","na","na","na","na",10.45,-0.629,"20.11","24.19","25.36","24.87","7.09","2.67","10.08","15.75","16.65","16.73"
"CCK",2,2005,"2038.5","3.309","na","96.0","na","na","na","na","na","na","na","na","na","na","na","na",10.93,-0.487,"na","24.64","27.67","27.58","na","3.44","na","10.28","10.60","11.27"
"CCK",2,2010,"63199.1","4.801","na","50.0","52.2","na","0.466","0.025","3.192","3.67","158.3","0.000","1.600","4.033","360.0","4.9",13.56,0.291,"17.90","24.94","27.72","27.72","4.96","1.34","9.15","11.18","13.14","13.39"
"CCK",2,2011,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",9.46,-0.922,"na","na","na","na","na","na","na","na","na","na"
"CCK",2,2012,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",7.49,-1.505,"21.25","na","na","na","3.57","na","8.33","na","na","na"
"CCK",2,2013,"2823423.8","6.451","13.35","60.0","3.5","na","na","0.262","1.120","3.71","126.7","na","na","na","na","na",14.26,0.498,"na","na","na","na","na","na","na","na","na","na"
"CCK",2,2017,"463459.1","5.666","4.48","48.0","46.3","17.3","0.862","0.101","2.378","5.15","180.2","0.071","0.350","3.180","62.0","3.0",16.81,1.252,"18.79","24.84","na","26.15","4.25","0.78","14.38","14.87","na","17.94"
"CFK",1,1987,"na","na","8.87","na","5.0","5","na","0.050","na","1.00","na","0.000","na","na","10.5","0.9",11.76,-0.501,"na","na","na","na","na","na","na","na","na","na"
"CFK",1,1988,"919.1","2.963","15.00","70.0","29.5","16.5","na","0.050","na","2.50","71.5","0.000","na","na","14.6","2.0",6.76,-1.616,"na","na","na","na","na","na","na","na","na","na"
"CFK",1,1990,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",15.09,0.242,"19.25","25.06","27.87","27.29","7.72","4.39","9.77","10.86","12.54","13.20"
"CFK",1,1993,"12461.4","4.096","3.85","84.0","na","na","na","na","na","na","79.0","na","na","na","na","na",16.75,0.612,"20.46","25.29","29.23","27.89","7.67","6.29","8.24","8.81","10.16","12.61"
"CFK",1,1994,"na","na","na","117.5","na","na","na","na","na","4.25","na","na","na","na","na","11.4",11.03,-0.664,"18.16","25.11","26.67","25.60","6.35","3.96","11.04","11.46","10.86","13.11"
"CFK",1,1995,"2968.6","3.473","3.31","103.0","na","na","na","na","na","4.80","74.5","na","na","0.318","na","8.4",8.68,-1.188,"18.92","24.36","27.64","29.23","7.53","4.38","11.04","13.34","11.28","14.50"
"CFK",1,1996,"na","na","na","113.3","na","na","na","na","na","3.54","70.5","na","na","0.471","na","4.2",12.82,-0.265,"20.11","25.97","27.43","27.99","7.26","3.25","10.59","16.37","16.82","17.53"
"CFK",1,1998,"759.9","2.881","4.43","90.5","na","na","na","na","na","na","na","na","na","na","na","na",15.55,0.344,"22.19","26.44","28.35","27.83","5.66","3.90","12.52","14.76","16.10","17.23"
"CFK",1,1999,"128.0","2.107","na","na","18.0","5","0.200","na","0.058","2.32","75.5","na","0.467","0.283","16.7","2.3",6.83,-1.601,"21.86","26.27","27.98","26.71","7.62","7.03","9.89","10.76","11.79","12.85"
"CFK",1,2000,"471.9","2.674","na","72.0","na","na","na","na","na","na","na","na","na","na","na","na",16.67,0.594,"20.51","25.36","27.26","27.30","5.83","4.08","11.09","12.10","18.02","20.07"
"CFK",1,2001,"438.2","2.642","na","79.0","na","na","na","na","na","na","na","na","na","na","na","na",14.29,0.063,"21.76","25.11","26.93","27.47","7.36","6.59","8.28","9.21","10.30","18.04"
"CFK",1,2002,"134.1","2.127","na","108.7","na","na","na","na","na","na","na","na","na","na","na","na",11.75,-0.503,"19.17","26.62","28.96","28.75","4.84","3.51","13.69","13.75","14.34","15.30"
"CFK",1,2004,"1347.1","3.129","na","96.3","na","na","na","na","na","na","na","na","na","na","na","na",13.16,-0.189,"21.43","24.79","28.00","27.89","7.77","3.69","10.15","16.90","17.60","17.86"
"CFK",1,2007,"1351.5","3.131","na","132.0","na","na","0.339","0.018","0.008","3.12","121.6","0.000","0.076","0.334","12.4","2.5",5.29,-1.944,"22.40","26.08","25.95","28.05","6.86","4.16","10.58","10.43","11.66","12.57"
"CFK",1,2011,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",13.9,-0.024,"na","na","na","na","na","na","na","na","na","na"
"CFK",1,2012,"64353.2","4.809","na","74.0","na","na","na","na","na","na","na","na","na","na","na","na",15.06,0.235,"na","na","na","25.98","na","na","na","na","na","19.92"
"CFK",1,2013,"1033383.8","6.014","4.81","87.0","8.0","na","na","0.017","0.148","3.82","na","0.084","na","0.330","61.0","5.9",28.35,3.199,"na","na","na","26.55","na","na","na","na","na","16.43"
"CFK",1,2014,"51249.4","4.710","na","144.0","6.7","na","0.806","0.065","0.037","3.11","103.6","0.124","1.100","0.650","13.4","3.4",17.69,0.821,"na","na","27.24","26.28","na","na","na","na","11.50","14.09"
"CFK",1,2015,"96946.6","4.987","2.45","103.0","2.0","na","0.429","0.129","0.005","2.86","126.0","na","na","na","na","na",15.56,0.346,"na","na","na","28.53","na","na","na","na","na","19.73"
"CHL",3,1990,"na","na","3.25","32.0","na","na","na","na","na","na","na","na","na","na","na","na",14.77,0.82,"15.08","21.91","25.96","26.74","9.36","na","10.84","15.90","19.97","21.92"
"CHL",3,1992,"9499.8","3.978","4.79","64.0","30.0","na","0.650","na","na","6.00","130.0","0.300","0.300","3.900","38.0","5.5",14.2,0.666,"17.58","23.64","24.54","23.64","8.50","2.01","11.67","12.97","14.46","18.04"
"CHL",3,1993,"268000.0","5.428","na","16.0","na","na","na","0.150","na","5.00","128.5","0.150","na","na","na","4.0",16.92,1.4,"17.17","22.60","28.64","27.68","7.44","2.04","11.47","15.35","21.07","22.75"
"CHL",3,1994,"na","na","23.45","24.0","na","na","na","na","na","8.00","na","na","na","na","na","16.3",7.15,-1.234,"17.60","25.59","27.65","25.57","4.05","0.75","12.76","16.31","18.94","19.40"
"CHL",3,1995,"9716.2","3.987","6.48","25.0","na","na","na","na","na","9.90","85.0","na","na","na","na","16.1",8.78,-0.795,"16.58","23.28","26.88","29.13","5.05","0.75","13.36","15.72","17.59","18.27"
"CHL",3,1998,"7148.1","3.854","23.75","45.0","na","na","na","na","na","5.30","130.0","na","0.600","na","na","4.5",14.95,0.869,"19.71","23.79","28.34","26.97","4.03","1.43","14.25","17.48","20.95","23.36"
"CHL",3,1999,"25791.4","4.411","na","36.0","20.0","5","na","na","na","5.90","99.0","na","1.400","0.320","100.0","5.0",11.69,-0.01,"19.66","23.96","28.90","27.64","4.95","1.30","12.47","16.08","18.47","19.41"
"CHL",3,2001,"5544.0","3.744","na","38.0","na","na","na","na","na","na","na","na","na","na","na","na",17.89,1.661,"20.68","25.16","28.55","28.61","2.17","2.05","13.24","16.37","18.43","19.16"
"CHL",3,2002,"8894.0","3.949","na","38.0","na","na","na","na","na","na","na","na","na","na","na","na",7.23,-1.212,"16.37","24.52","28.72","27.78","5.35","2.13","13.33","16.49","21.26","21.58"
"CHL",3,2003,"14217.4","4.153","na","43.0","na","na","na","na","na","na","na","na","na","na","na","na",13.37,0.443,"19.22","22.02","26.40","27.06","2.62","1.48","14.40","17.75","19.24","22.62"
"CHL",3,2007,"90806.6","4.958","na","42.0","na","na","0.934","0.018","0.008","4.54","110.0","0.000","0.491","0.199","9.0","2.5",9.84,-0.509,"20.44","24.67","26.93","26.97","4.95","0.53","12.27","14.37","16.65","16.57"
"CHL",3,2010,"na","na","na","42.0","24.0","na","0.460","0.025","1.800","4.20","130.0","0.000","0.140","3.600","100.0","3.2",13.69,0.529,"18.72","26.43","28.43","29.32","2.31","6.16","15.10","18.45","24.28","27.14"
"CHL",3,2011,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",6.91,-1.299,"na","na","na","na","na","na","na","na","na","na"
"CHL",3,2012,"261051.8","5.417","na","28.0","na","na","na","na","na","na","na","na","na","na","na","na",5.41,-1.703,"na","na","na","27.97","na","na","na","na","na","19.08"
"CHL",3,2013,"4195412.2","6.623","34.84","36.0","9.6","na","na","0.068","0.109","5.13","170.0","na","na","na","na","na",9.85,-0.506,"na","na","na","na","na","na","na","na","na","na"
"CHL",3,2016,"393856.5","5.595","17.82","45.0","49.5","na","0.792","0.152","0.073","6.10","127.3","na","na","na","na","na",11.64,-0.024,"16.70","27.34","28.04","na","4.00","0.35","14.13","17.20","18.38","21.32"
"CHL",3,2017,"2982220.1","6.475","15.08","27.0","43.2","28.76666667","1.008","0.117","1.019","6.75","123.0","0.076","0.360","3.960","50.0","3.2",9.08,-0.714,"18.82","24.99","28.04","na","4.29","0.30","13.23","18.37","22.33","22.97"
"CMR",3,1989,"na","na","7.67","41.0","22.3","17.66666667","0.600","0.067","3.100","2.00","115.0","0.167","0.467","1.833","94.3","2.3",15.08,0.602,"18.02","24.85","27.75","26.92","7.44","3.28","11.87","15.95","17.74","20.46"
"CMR",3,1992,"1668.7","3.222","8.47","23.0","42.5","na","0.750","na","na","6.00","86.3","1.000","0.300","1.600","30.0","5.0",14.67,0.496,"19.41","24.35","25.66","24.74","8.72","na","12.02","13.42","19.57","20.56"
"CMR",3,1995,"33826.7","4.529","8.63","19.0","na","na","na","na","na","11.00","79.0","na","na","0.209","na","16.4",8.93,-0.979,"18.25","25.32","27.58","29.39","4.51","0.71","14.46","16.33","17.81","19.35"
"CMR",3,1996,"na","na","na","45.0","na","na","na","na","na","4.71","124.0","na","na","2.630","na","5.8",10.77,-0.506,"17.30","na","26.08","28.71","6.15","na","13.31","na","17.23","19.50"
"CMR",3,1997,"na","na","19.25","40.0","na","na","na","na","1.630","4.46","na","na","na","1.420","na","6.5",13.83,0.28,"16.44","22.70","28.06","25.93","5.64","1.97","13.55","15.44","18.12","19.49"
"CMR",3,1998,"13406.4","4.127","49.60","28.0","na","na","na","na","na","na","na","na","na","na","na","na",13.89,0.296,"25.22","23.84","27.72","27.28","3.53","0.62","13.74","17.64","20.66","22.59"
"CMR",3,2000,"31645.5","4.500","na","18.0","na","na","na","na","na","na","na","na","na","na","na","na",16.02,0.843,"20.15","24.78","27.54","26.60","2.50","0.44","13.60","17.82","20.27","21.93"
"CMR",3,2003,"15730.0","4.197","na","38.0","na","na","na","na","na","na","na","na","na","na","na","na",13.48,0.19,"19.26","23.34","26.91","28.79","2.95","1.49","14.34","17.00","19.91","23.00"
"CMR",3,2004,"42471.3","4.628","na","27.0","na","na","na","na","na","na","na","na","na","na","na","na",10.96,-0.457,"20.02","26.25","26.76","25.61","2.51","2.29","14.60","19.10","21.98","22.17"
"CMR",3,2006,"50321.0","4.702","na","24.5","na","na","na","na","na","na","na","na","na","na","na","na",11.56,-0.303,"18.40","25.75","28.88","28.92","2.54","0.47","12.90","17.63","20.99","22.00"
